文件名: ./emb_a45b60.npy, TC = 0.6018, TD = 0.7174
文件名: ./emb_a85b40.npy, TC = 0.5789, TD = 0.6720
文件名: ./emb_a25b95.npy, TC = 0.5647, TD = 0.5769
文件名: ./emb_a85b15.npy, TC = 0.5901, TD = 0.6870
文件名: ./emb_a80b30.npy, TC = 0.5645, TD = 0.6750
文件名: ./emb_a50b70.npy, TC = 0.5955, TD = 0.7192
文件名: ./emb_a50b35.npy, TC = 0.5814, TD = 0.7250
文件名: ./emb_a80b75.npy, TC = 0.5952, TD = 0.6885
文件名: ./emb_a70b70.npy, TC = 0.5717, TD = 0.6800
文件名: ./emb_a55b10.npy, TC = 0.5788, TD = 0.6846
文件名: ./emb_a85b5.npy, TC = 0.5164, TD = 0.7000
文件名: ./emb_a55b90.npy, TC = 0.5720, TD = 0.6818
文件名: ./emb_a65b40.npy, TC = 0.4499, TD = 0.7000
文件名: ./emb_a35b10.npy, TC = 0.5935, TD = 0.6560
文件名: ./emb_a50b85.npy, TC = 0.5851, TD = 0.7091
文件名: ./emb_a70b45.npy, TC = 0.5701, TD = 0.6875
文件名: ./emb_a80b10.npy, TC = 0.4507, TD = 0.7000
文件名: ./emb_a10b90.npy, TC = 0.5368, TD = 0.5917
文件名: ./emb_a25b55.npy, TC = 0.3942, TD = 1.0000
文件名: ./emb_a65b65.npy, TC = 0.5868, TD = 0.6893
文件名: ./emb_a25b25.npy, TC = 0.5865, TD = 0.6556
文件名: ./emb_a25b20.npy, TC = 0.5904, TD = 0.6750
文件名: ./emb_a60b90.npy, TC = 0.5839, TD = 0.6800
文件名: ./emb_a5b60.npy, TC = 0.5743, TD = 0.7000
文件名: ./emb_a15b70.npy, TC = 0.5932, TD = 0.6471
文件名: ./emb_a65b90.npy, TC = 0.5879, TD = 0.6783
文件名: ./emb_a20b15.npy, TC = 0.5413, TD = 0.7333
文件名: ./emb_a40b60.npy, TC = 0.6047, TD = 0.7000
文件名: ./emb_a25b80.npy, TC = 0.5887, TD = 0.6750
文件名: ./emb_a75b85.npy, TC = 0.5800, TD = 0.6720
文件名: ./emb_a80b25.npy, TC = 0.4505, TD = 0.7000
文件名: ./emb_a10b80.npy, TC = 0.5579, TD = 0.5880
文件名: ./emb_a60b40.npy, TC = 0.5732, TD = 0.6920
文件名: ./emb_a90b65.npy, TC = 0.5777, TD = 0.6826
文件名: ./emb_a75b20.npy, TC = 0.5827, TD = 0.6800
文件名: ./emb_a5b55.npy, TC = 0.5405, TD = 0.6214
文件名: ./emb_a30b70.npy, TC = 0.5829, TD = 0.6846
文件名: ./emb_a80b55.npy, TC = 0.5763, TD = 0.6545
文件名: ./emb_a45b30.npy, TC = 0.5947, TD = 0.7292
文件名: ./emb_a75b30.npy, TC = 0.4506, TD = 0.7000
文件名: ./emb_a85b65.npy, TC = 0.5711, TD = 0.6792
文件名: ./emb_a15b10.npy, TC = 0.5349, TD = 0.5294
文件名: ./emb_a55b30.npy, TC = 0.4506, TD = 0.7000
文件名: ./emb_a90b60.npy, TC = 0.5723, TD = 0.6591
文件名: ./emb_a40b80.npy, TC = 0.6096, TD = 0.7115
文件名: ./emb_a40b20.npy, TC = 0.5980, TD = 0.6889
文件名: ./emb_a60b20.npy, TC = 0.4506, TD = 0.7000
文件名: ./emb_a75b5.npy, TC = 0.5166, TD = 0.7000
文件名: ./emb_a75b55.npy, TC = 0.4498, TD = 0.7000
文件名: ./emb_a5b25.npy, TC = 0.4766, TD = 0.7500
文件名: ./emb_a55b45.npy, TC = 0.4504, TD = 0.7000
文件名: ./emb_a60b55.npy, TC = 0.5740, TD = 0.7000
文件名: ./emb_a80b45.npy, TC = 0.5710, TD = 0.6778
文件名: ./emb_a55b75.npy, TC = 0.5931, TD = 0.7083
文件名: ./emb_a20b95.npy, TC = 0.5281, TD = 0.5552
文件名: ./emb_a70b15.npy, TC = 0.4509, TD = 0.7000
文件名: ./emb_a60b85.npy, TC = 0.5936, TD = 0.7000
文件名: ./emb_a95b45.npy, TC = 0.5745, TD = 0.6880
文件名: ./emb_a70b35.npy, TC = 0.4500, TD = 0.7000
文件名: ./emb_a95b65.npy, TC = 0.5863, TD = 0.6840
文件名: ./emb_a15b5.npy, TC = 0.3936, TD = 1.0000
文件名: ./emb_a30b35.npy, TC = 0.5753, TD = 0.6619
文件名: ./emb_a10b35.npy, TC = 0.5841, TD = 0.6500
文件名: ./emb_a55b65.npy, TC = 0.5886, TD = 0.6846
文件名: ./emb_a90b5.npy, TC = 0.5728, TD = 0.6818
文件名: ./emb_a55b35.npy, TC = 0.4506, TD = 0.7000
文件名: ./emb_a50b60.npy, TC = 0.5919, TD = 0.6957
文件名: ./emb_a85b95.npy, TC = 0.5796, TD = 0.6667
文件名: ./emb_a10b55.npy, TC = 0.6058, TD = 0.7176
文件名: ./emb_a20b35.npy, TC = 0.3943, TD = 1.0000
