文件名: ./emb_a45b60.npy, TC = 0.5870, TD = 0.7043
文件名: ./emb_a85b40.npy, TC = 0.5848, TD = 0.6680
文件名: ./emb_a25b95.npy, TC = 0.5394, TD = 0.5346
文件名: ./emb_a85b15.npy, TC = 0.5947, TD = 0.6957
文件名: ./emb_a80b30.npy, TC = 0.5853, TD = 0.6667
文件名: ./emb_a50b70.npy, TC = 0.5882, TD = 0.7192
文件名: ./emb_a50b35.npy, TC = 0.5785, TD = 0.7000
文件名: ./emb_a80b75.npy, TC = 0.5916, TD = 0.6808
文件名: ./emb_a70b70.npy, TC = 0.5764, TD = 0.6720
文件名: ./emb_a55b10.npy, TC = 0.5794, TD = 0.6731
文件名: ./emb_a85b5.npy, TC = 0.5094, TD = 0.6667
文件名: ./emb_a55b90.npy, TC = 0.5640, TD = 0.6864
文件名: ./emb_a65b40.npy, TC = 0.4391, TD = 0.7000
文件名: ./emb_a35b10.npy, TC = 0.6000, TD = 0.6520
文件名: ./emb_a50b85.npy, TC = 0.5871, TD = 0.7000
文件名: ./emb_a70b45.npy, TC = 0.5734, TD = 0.7000
文件名: ./emb_a80b10.npy, TC = 0.4400, TD = 0.7000
文件名: ./emb_a10b90.npy, TC = 0.5170, TD = 0.5583
文件名: ./emb_a25b55.npy, TC = 0.3694, TD = 1.0000
文件名: ./emb_a65b65.npy, TC = 0.5711, TD = 0.6714
文件名: ./emb_a25b25.npy, TC = 0.5840, TD = 0.6389
文件名: ./emb_a25b20.npy, TC = 0.5922, TD = 0.6750
文件名: ./emb_a60b90.npy, TC = 0.5894, TD = 0.6840
文件名: ./emb_a5b60.npy, TC = 0.5701, TD = 0.6692
文件名: ./emb_a15b70.npy, TC = 0.5756, TD = 0.6059
文件名: ./emb_a65b90.npy, TC = 0.5826, TD = 0.6696
文件名: ./emb_a20b15.npy, TC = 0.5198, TD = 0.7000
文件名: ./emb_a40b60.npy, TC = 0.6010, TD = 0.6920
文件名: ./emb_a25b80.npy, TC = 0.5725, TD = 0.6625
文件名: ./emb_a75b85.npy, TC = 0.5848, TD = 0.6800
文件名: ./emb_a80b25.npy, TC = 0.4406, TD = 0.7000
文件名: ./emb_a10b80.npy, TC = 0.5440, TD = 0.5640
文件名: ./emb_a60b40.npy, TC = 0.5659, TD = 0.6720
文件名: ./emb_a90b65.npy, TC = 0.5801, TD = 0.6739
文件名: ./emb_a75b20.npy, TC = 0.5855, TD = 0.6760
文件名: ./emb_a5b55.npy, TC = 0.5257, TD = 0.6071
文件名: ./emb_a30b70.npy, TC = 0.5843, TD = 0.6769
文件名: ./emb_a80b55.npy, TC = 0.5848, TD = 0.6636
文件名: ./emb_a45b30.npy, TC = 0.5886, TD = 0.7167
文件名: ./emb_a75b30.npy, TC = 0.4405, TD = 0.7000
文件名: ./emb_a85b65.npy, TC = 0.5730, TD = 0.6750
文件名: ./emb_a15b10.npy, TC = 0.5342, TD = 0.5471
文件名: ./emb_a55b30.npy, TC = 0.4399, TD = 0.7000
文件名: ./emb_a90b60.npy, TC = 0.5769, TD = 0.6591
文件名: ./emb_a40b80.npy, TC = 0.5964, TD = 0.6885
文件名: ./emb_a40b20.npy, TC = 0.5902, TD = 0.6852
文件名: ./emb_a60b20.npy, TC = 0.4399, TD = 0.7000
文件名: ./emb_a75b5.npy, TC = 0.5092, TD = 0.6667
文件名: ./emb_a75b55.npy, TC = 0.4395, TD = 0.7000
文件名: ./emb_a5b25.npy, TC = 0.4414, TD = 0.7000
