文件名: ./emb_a45b60.npy, TC = 0.5879, TD = 0.7087
文件名: ./emb_a85b40.npy, TC = 0.5806, TD = 0.6600
文件名: ./emb_a25b95.npy, TC = 0.5360, TD = 0.5385
文件名: ./emb_a85b15.npy, TC = 0.5839, TD = 0.6826
文件名: ./emb_a80b30.npy, TC = 0.5763, TD = 0.6750
文件名: ./emb_a50b70.npy, TC = 0.5837, TD = 0.7154
文件名: ./emb_a50b35.npy, TC = 0.5702, TD = 0.6917
文件名: ./emb_a80b75.npy, TC = 0.5927, TD = 0.6808
文件名: ./emb_a70b70.npy, TC = 0.5677, TD = 0.6600
文件名: ./emb_a55b10.npy, TC = 0.5703, TD = 0.6769
文件名: ./emb_a85b5.npy, TC = 0.5269, TD = 0.7000
文件名: ./emb_a55b90.npy, TC = 0.5644, TD = 0.6864
文件名: ./emb_a65b40.npy, TC = 0.4354, TD = 0.7000
文件名: ./emb_a35b10.npy, TC = 0.5925, TD = 0.6480
文件名: ./emb_a50b85.npy, TC = 0.5798, TD = 0.6727
文件名: ./emb_a70b45.npy, TC = 0.5657, TD = 0.6750
文件名: ./emb_a80b10.npy, TC = 0.4356, TD = 0.7000
文件名: ./emb_a10b90.npy, TC = 0.5085, TD = 0.5458
文件名: ./emb_a25b55.npy, TC = 0.3375, TD = 1.0000
文件名: ./emb_a65b65.npy, TC = 0.5619, TD = 0.6643
文件名: ./emb_a25b25.npy, TC = 0.5776, TD = 0.6333
文件名: ./emb_a25b20.npy, TC = 0.5823, TD = 0.6650
文件名: ./emb_a60b90.npy, TC = 0.5831, TD = 0.6720
文件名: ./emb_a5b60.npy, TC = 0.5533, TD = 0.6846
文件名: ./emb_a15b70.npy, TC = 0.5722, TD = 0.6059
文件名: ./emb_a65b90.npy, TC = 0.5744, TD = 0.6609
文件名: ./emb_a20b15.npy, TC = 0.5176, TD = 0.7000
文件名: ./emb_a40b60.npy, TC = 0.5965, TD = 0.6880
文件名: ./emb_a25b80.npy, TC = 0.5650, TD = 0.6625
文件名: ./emb_a75b85.npy, TC = 0.5745, TD = 0.6680
文件名: ./emb_a80b25.npy, TC = 0.4361, TD = 0.7000
文件名: ./emb_a10b80.npy, TC = 0.5341, TD = 0.5640
文件名: ./emb_a60b40.npy, TC = 0.5624, TD = 0.6760
文件名: ./emb_a90b65.npy, TC = 0.5769, TD = 0.6609
文件名: ./emb_a75b20.npy, TC = 0.5783, TD = 0.6760
文件名: ./emb_a5b55.npy, TC = 0.5222, TD = 0.6214
文件名: ./emb_a30b70.npy, TC = 0.5774, TD = 0.6808
文件名: ./emb_a80b55.npy, TC = 0.5762, TD = 0.6545
文件名: ./emb_a45b30.npy, TC = 0.5803, TD = 0.7083
文件名: ./emb_a75b30.npy, TC = 0.4360, TD = 0.7000
文件名: ./emb_a85b65.npy, TC = 0.5762, TD = 0.6667
文件名: ./emb_a15b10.npy, TC = 0.5309, TD = 0.5529
文件名: ./emb_a55b30.npy, TC = 0.4359, TD = 0.7000
文件名: ./emb_a90b60.npy, TC = 0.5692, TD = 0.6455
文件名: ./emb_a40b80.npy, TC = 0.5889, TD = 0.6962
文件名: ./emb_a40b20.npy, TC = 0.5859, TD = 0.6926
文件名: ./emb_a60b20.npy, TC = 0.4360, TD = 0.7000
文件名: ./emb_a75b5.npy, TC = 0.5056, TD = 0.6667
文件名: ./emb_a75b55.npy, TC = 0.4353, TD = 0.7000
文件名: ./emb_a5b25.npy, TC = 0.4368, TD = 0.7000
文件名: ./emb_a55b45.npy, TC = 0.4363, TD = 0.7000
文件名: ./emb_a60b55.npy, TC = 0.5708, TD = 0.6846
文件名: ./emb_a80b45.npy, TC = 0.5650, TD = 0.6815
文件名: ./emb_a55b75.npy, TC = 0.5862, TD = 0.6917
文件名: ./emb_a20b95.npy, TC = 0.5061, TD = 0.5310
文件名: ./emb_a70b15.npy, TC = 0.4356, TD = 0.7000
文件名: ./emb_a60b85.npy, TC = 0.5749, TD = 0.6920
文件名: ./emb_a95b45.npy, TC = 0.5570, TD = 0.6960
文件名: ./emb_a70b35.npy, TC = 0.4357, TD = 0.7000
文件名: ./emb_a95b65.npy, TC = 0.5722, TD = 0.6680
文件名: ./emb_a15b5.npy, TC = 0.3686, TD = 1.0000
文件名: ./emb_a30b35.npy, TC = 0.5674, TD = 0.6524
文件名: ./emb_a10b35.npy, TC = 0.5623, TD = 0.6111
文件名: ./emb_a55b65.npy, TC = 0.5733, TD = 0.6615
文件名: ./emb_a90b5.npy, TC = 0.5810, TD = 0.6682
文件名: ./emb_a55b35.npy, TC = 0.4360, TD = 0.7000
文件名: ./emb_a50b60.npy, TC = 0.5870, TD = 0.6870
文件名: ./emb_a85b95.npy, TC = 0.5780, TD = 0.6625
文件名: ./emb_a10b55.npy, TC = 0.5808, TD = 0.6882
文件名: ./emb_a20b35.npy, TC = 0.3364, TD = 1.0000
文件名: ./emb_a10b95.npy, TC = 0.4951, TD = 0.5222
文件名: ./emb_a45b50.npy, TC = 0.5835, TD = 0.7125
文件名: ./emb_a40b75.npy, TC = 0.5836, TD = 0.6815
文件名: ./emb_a70b30.npy, TC = 0.5657, TD = 0.6893
文件名: ./emb_a55b85.npy, TC = 0.5711, TD = 0.6818
文件名: ./emb_a10b70.npy, TC = 0.5451, TD = 0.6125
文件名: ./emb_a30b75.npy, TC = 0.5656, TD = 0.6320
文件名: ./emb_a65b85.npy, TC = 0.5774, TD = 0.6739
文件名: ./emb_a30b85.npy, TC = 0.5728, TD = 0.6500
文件名: ./emb_a20b80.npy, TC = 0.5698, TD = 0.6391
文件名: ./emb_a90b10.npy, TC = 0.4353, TD = 0.7000
文件名: ./emb_a95b90.npy, TC = 0.5697, TD = 0.6565
文件名: ./emb_a5b5.npy, TC = 0.4368, TD = 0.7000
文件名: ./emb_a55b60.npy, TC = 0.5671, TD = 0.6360
文件名: ./emb_a70b80.npy, TC = 0.5727, TD = 0.6760
文件名: ./emb_a65b45.npy, TC = 0.4357, TD = 0.7000
文件名: ./emb_a15b20.npy, TC = 0.4373, TD = 0.7000
文件名: ./emb_a35b40.npy, TC = 0.5953, TD = 0.6826
文件名: ./emb_a55b40.npy, TC = 0.5648, TD = 0.6625
文件名: ./emb_a30b50.npy, TC = 0.5959, TD = 0.7130
文件名: ./emb_a60b70.npy, TC = 0.5860, TD = 0.6846
文件名: ./emb_a5b50.npy, TC = 0.5430, TD = 0.6438
文件名: ./emb_a45b65.npy, TC = 0.5908, TD = 0.6800
