文件名: ./emb_a45b60.npy, TC = 0.3946, TD = 1.0000
文件名: ./emb_a85b40.npy, TC = 0.5269, TD = 0.5333
文件名: ./emb_a25b95.npy, TC = 0.5171, TD = 0.5625
文件名: ./emb_a85b15.npy, TC = 0.5295, TD = 0.5318
文件名: ./emb_a80b30.npy, TC = 0.5272, TD = 0.5238
文件名: ./emb_a50b70.npy, TC = 0.5175, TD = 0.5588
文件名: ./emb_a50b35.npy, TC = 0.5214, TD = 0.5500
文件名: ./emb_a80b75.npy, TC = 0.5318, TD = 0.5421
文件名: ./emb_a70b70.npy, TC = 0.5223, TD = 0.5563
文件名: ./emb_a55b10.npy, TC = 0.5313, TD = 0.5350
文件名: ./emb_a85b5.npy, TC = 0.5056, TD = 0.5316
文件名: ./emb_a55b90.npy, TC = 0.5498, TD = 0.6091
文件名: ./emb_a65b40.npy, TC = 0.4922, TD = 0.4857
文件名: ./emb_a35b10.npy, TC = 0.5167, TD = 0.5312
文件名: ./emb_a50b85.npy, TC = 0.5557, TD = 0.5950
文件名: ./emb_a70b45.npy, TC = 0.5372, TD = 0.5476
文件名: ./emb_a80b10.npy, TC = 0.5219, TD = 0.5227
文件名: ./emb_a10b90.npy, TC = 0.5095, TD = 0.5238
文件名: ./emb_a25b55.npy, TC = 0.5547, TD = 0.6214
文件名: ./emb_a65b65.npy, TC = 0.4278, TD = 1.0000
文件名: ./emb_a25b25.npy, TC = 0.4514, TD = 0.7000
文件名: ./emb_a25b20.npy, TC = 0.4513, TD = 0.7000
文件名: ./emb_a60b90.npy, TC = 0.5368, TD = 0.5950
文件名: ./emb_a5b60.npy, TC = 0.4878, TD = 0.4929
文件名: ./emb_a15b70.npy, TC = 0.5504, TD = 0.5778
文件名: ./emb_a65b90.npy, TC = 0.5510, TD = 0.6062
文件名: ./emb_a20b15.npy, TC = 0.4982, TD = 0.5294
文件名: ./emb_a40b60.npy, TC = 0.5607, TD = 0.6412
文件名: ./emb_a25b80.npy, TC = 0.4417, TD = 0.8000
文件名: ./emb_a75b85.npy, TC = 0.5181, TD = 0.5647
文件名: ./emb_a80b25.npy, TC = 0.5083, TD = 0.5150
文件名: ./emb_a10b80.npy, TC = 0.5287, TD = 0.5458
文件名: ./emb_a60b40.npy, TC = 0.4852, TD = 0.5133
文件名: ./emb_a90b65.npy, TC = 0.5143, TD = 0.5217
文件名: ./emb_a75b20.npy, TC = 0.5271, TD = 0.5333
文件名: ./emb_a5b55.npy, TC = 0.5272, TD = 0.5136
文件名: ./emb_a30b70.npy, TC = 0.5423, TD = 0.6211
