文件名: ./emb_a45b60.npy, TC = 0.3385, TD = 1.0000
文件名: ./emb_a85b40.npy, TC = 0.5233, TD = 0.5333
文件名: ./emb_a25b95.npy, TC = 0.4894, TD = 0.5625
文件名: ./emb_a85b15.npy, TC = 0.5347, TD = 0.5318
文件名: ./emb_a80b30.npy, TC = 0.5202, TD = 0.5190
文件名: ./emb_a50b70.npy, TC = 0.5111, TD = 0.5588
文件名: ./emb_a50b35.npy, TC = 0.5158, TD = 0.5375
文件名: ./emb_a80b75.npy, TC = 0.5172, TD = 0.5526
文件名: ./emb_a70b70.npy, TC = 0.5131, TD = 0.5125
文件名: ./emb_a55b10.npy, TC = 0.5153, TD = 0.5250
文件名: ./emb_a85b5.npy, TC = 0.4978, TD = 0.5105
文件名: ./emb_a55b90.npy, TC = 0.5378, TD = 0.5773
文件名: ./emb_a65b40.npy, TC = 0.4864, TD = 0.5000
文件名: ./emb_a35b10.npy, TC = 0.5132, TD = 0.5500
文件名: ./emb_a50b85.npy, TC = 0.5337, TD = 0.5700
文件名: ./emb_a70b45.npy, TC = 0.5280, TD = 0.5333
文件名: ./emb_a80b10.npy, TC = 0.5142, TD = 0.5273
文件名: ./emb_a10b90.npy, TC = 0.4864, TD = 0.5190
文件名: ./emb_a25b55.npy, TC = 0.5488, TD = 0.6071
文件名: ./emb_a65b65.npy, TC = 0.3712, TD = 1.0000
文件名: ./emb_a25b25.npy, TC = 0.4392, TD = 0.7000
文件名: ./emb_a25b20.npy, TC = 0.4387, TD = 0.7000
文件名: ./emb_a60b90.npy, TC = 0.5335, TD = 0.5500
文件名: ./emb_a5b60.npy, TC = 0.4569, TD = 0.4214
文件名: ./emb_a15b70.npy, TC = 0.5058, TD = 0.5611
文件名: ./emb_a65b90.npy, TC = 0.5417, TD = 0.5813
文件名: ./emb_a20b15.npy, TC = 0.4758, TD = 0.4706
文件名: ./emb_a40b60.npy, TC = 0.5289, TD = 0.6235
文件名: ./emb_a25b80.npy, TC = 0.4493, TD = 0.8500
文件名: ./emb_a75b85.npy, TC = 0.5093, TD = 0.5412
文件名: ./emb_a80b25.npy, TC = 0.5042, TD = 0.5150
文件名: ./emb_a10b80.npy, TC = 0.4930, TD = 0.5250
文件名: ./emb_a60b40.npy, TC = 0.4757, TD = 0.5200
文件名: ./emb_a90b65.npy, TC = 0.5200, TD = 0.5391
文件名: ./emb_a75b20.npy, TC = 0.5187, TD = 0.5000
文件名: ./emb_a5b55.npy, TC = 0.4977, TD = 0.5045
文件名: ./emb_a30b70.npy, TC = 0.5237, TD = 0.5842
文件名: ./emb_a80b55.npy, TC = 0.5111, TD = 0.5095
文件名: ./emb_a45b30.npy, TC = 0.5165, TD = 0.5533
文件名: ./emb_a75b30.npy, TC = 0.5326, TD = 0.5474
文件名: ./emb_a85b65.npy, TC = 0.5164, TD = 0.5500
文件名: ./emb_a15b10.npy, TC = 0.4648, TD = 0.4643
文件名: ./emb_a55b30.npy, TC = 0.4990, TD = 0.5467
文件名: ./emb_a90b60.npy, TC = 0.5072, TD = 0.4955
文件名: ./emb_a40b80.npy, TC = 0.5310, TD = 0.6056
文件名: ./emb_a40b20.npy, TC = 0.5207, TD = 0.5929
文件名: ./emb_a60b20.npy, TC = 0.5086, TD = 0.5000
文件名: ./emb_a75b5.npy, TC = 0.5047, TD = 0.5200
文件名: ./emb_a75b55.npy, TC = 0.5409, TD = 0.5810
文件名: ./emb_a5b25.npy, TC = 0.4372, TD = 0.7000
文件名: ./emb_a55b45.npy, TC = 0.5185, TD = 0.5389
文件名: ./emb_a60b55.npy, TC = 0.4849, TD = 0.5636
文件名: ./emb_a80b45.npy, TC = 0.5131, TD = 0.5238
文件名: ./emb_a55b75.npy, TC = 0.5450, TD = 0.6118
文件名: ./emb_a20b95.npy, TC = 0.4987, TD = 0.5545
文件名: ./emb_a70b15.npy, TC = 0.5066, TD = 0.5556
文件名: ./emb_a60b85.npy, TC = 0.4986, TD = 0.5600
文件名: ./emb_a95b45.npy, TC = 0.5227, TD = 0.5259
文件名: ./emb_a70b35.npy, TC = 0.4986, TD = 0.5200
文件名: ./emb_a95b65.npy, TC = 0.5026, TD = 0.5158
文件名: ./emb_a15b5.npy, TC = 0.4643, TD = 0.5000
文件名: ./emb_a30b35.npy, TC = 0.5131, TD = 0.5421
文件名: ./emb_a10b35.npy, TC = 0.4215, TD = 0.7000
文件名: ./emb_a55b65.npy, TC = 0.5354, TD = 0.5500
文件名: ./emb_a90b5.npy, TC = 0.5124, TD = 0.5476
文件名: ./emb_a55b35.npy, TC = 0.4885, TD = 0.5125
文件名: ./emb_a50b60.npy, TC = 0.5290, TD = 0.5938
文件名: ./emb_a85b95.npy, TC = 0.3716, TD = 1.0000
文件名: ./emb_a10b55.npy, TC = 0.5001, TD = 0.5312
文件名: ./emb_a20b35.npy, TC = 0.5206, TD = 0.5929
文件名: ./emb_a10b95.npy, TC = 0.4949, TD = 0.5560
文件名: ./emb_a45b50.npy, TC = 0.5371, TD = 0.5556
文件名: ./emb_a40b75.npy, TC = 0.5252, TD = 0.6214
文件名: ./emb_a70b30.npy, TC = 0.5080, TD = 0.5111
文件名: ./emb_a55b85.npy, TC = 0.5287, TD = 0.6188
文件名: ./emb_a10b70.npy, TC = 0.4846, TD = 0.5316
文件名: ./emb_a30b75.npy, TC = 0.5013, TD = 0.5625
文件名: ./emb_a65b85.npy, TC = 0.5290, TD = 0.6286
文件名: ./emb_a30b85.npy, TC = 0.5308, TD = 0.5000
文件名: ./emb_a20b80.npy, TC = 0.5187, TD = 0.5185
文件名: ./emb_a90b10.npy, TC = 0.4571, TD = 0.4750
文件名: ./emb_a95b90.npy, TC = 0.5265, TD = 0.5444
文件名: ./emb_a5b5.npy, TC = 0.4697, TD = 0.4429
文件名: ./emb_a55b60.npy, TC = 0.5059, TD = 0.5286
文件名: ./emb_a70b80.npy, TC = 0.5073, TD = 0.5167
文件名: ./emb_a65b45.npy, TC = 0.5119, TD = 0.5000
文件名: ./emb_a15b20.npy, TC = 0.4365, TD = 0.7000
文件名: ./emb_a35b40.npy, TC = 0.5389, TD = 0.6125
文件名: ./emb_a55b40.npy, TC = 0.5097, TD = 0.5389
文件名: ./emb_a30b50.npy, TC = 0.4949, TD = 0.6000
文件名: ./emb_a60b70.npy, TC = 0.5250, TD = 0.5733
文件名: ./emb_a5b50.npy, TC = 0.5293, TD = 0.5938
文件名: ./emb_a45b65.npy, TC = 0.5560, TD = 0.6500
文件名: ./emb_a35b30.npy, TC = 0.5041, TD = 0.5467
文件名: ./emb_a25b60.npy, TC = 0.5518, TD = 0.5833
文件名: ./emb_a40b30.npy, TC = 0.4508, TD = 0.9000
文件名: ./emb_a25b30.npy, TC = 0.4228, TD = 0.7000
文件名: ./emb_a15b40.npy, TC = 0.4940, TD = 0.5500
文件名: ./emb_a30b15.npy, TC = 0.4377, TD = 0.7000
文件名: ./emb_a90b90.npy, TC = 0.5026, TD = 0.5263
文件名: ./emb_a10b45.npy, TC = 0.4964, TD = 0.5500
文件名: ./emb_a40b65.npy, TC = 0.5308, TD = 0.6053
文件名: ./emb_a75b50.npy, TC = 0.4876, TD = 0.8500
文件名: ./emb_a60b50.npy, TC = 0.5060, TD = 0.5250
文件名: ./emb_a85b55.npy, TC = 0.5204, TD = 0.5333
文件名: ./emb_a50b95.npy, TC = 0.5266, TD = 0.5625
文件名: ./emb_a55b70.npy, TC = 0.5357, TD = 0.6467
文件名: ./emb_a95b95.npy, TC = 0.5202, TD = 0.5250
文件名: ./emb_a70b25.npy, TC = 0.5188, TD = 0.5095
文件名: ./emb_a5b40.npy, TC = 0.4775, TD = 0.5062
文件名: ./emb_a10b5.npy, TC = 0.4659, TD = 0.4583
文件名: ./emb_a70b20.npy, TC = 0.5073, TD = 0.5286
文件名: ./emb_a80b85.npy, TC = 0.4969, TD = 0.5250
文件名: ./emb_a50b65.npy, TC = 0.5475, TD = 0.5700
文件名: ./emb_a75b65.npy, TC = 0.5286, TD = 0.5263
