文件名: ./emb_a75b70.npy, TC = 0.5796, TD = 0.6880
文件名: ./emb_a50b80.npy, TC = 0.5703, TD = 0.6692
文件名: ./emb_a10b10.npy, TC = 0.5455, TD = 0.5867
文件名: ./emb_a80b90.npy, TC = 0.5647, TD = 0.6720
文件名: ./emb_a95b40.npy, TC = 0.5862, TD = 0.6913
文件名: ./emb_a90b30.npy, TC = 0.5754, TD = 0.6696
文件名: ./emb_a30b20.npy, TC = 0.5792, TD = 0.6808
文件名: ./emb_a75b75.npy, TC = 0.5863, TD = 0.7038
文件名: ./emb_a70b85.npy, TC = 0.5665, TD = 0.6619
文件名: ./emb_a90b35.npy, TC = 0.5831, TD = 0.6609
文件名: ./emb_a85b90.npy, TC = 0.5727, TD = 0.6565
文件名: ./emb_a60b75.npy, TC = 0.5651, TD = 0.6760
文件名: ./emb_a15b90.npy, TC = 0.5294, TD = 0.5462
文件名: ./emb_a25b85.npy, TC = 0.5968, TD = 0.6947
文件名: ./emb_a55b20.npy, TC = 0.5699, TD = 0.6600
文件名: ./emb_a45b10.npy, TC = 0.5780, TD = 0.6720
文件名: ./emb_a50b75.npy, TC = 0.5701, TD = 0.6800
文件名: ./emb_a85b60.npy, TC = 0.5754, TD = 0.6708
文件名: ./emb_a15b60.npy, TC = 0.5726, TD = 0.7000
文件名: ./emb_a55b95.npy, TC = 0.5686, TD = 0.7000
文件名: ./emb_a10b50.npy, TC = 0.5554, TD = 0.6211
文件名: ./emb_a15b45.npy, TC = 0.5762, TD = 0.6895
文件名: ./emb_a85b10.npy, TC = 0.5796, TD = 0.6917
文件名: ./emb_a45b15.npy, TC = 0.5785, TD = 0.6652
文件名: ./emb_a35b90.npy, TC = 0.5899, TD = 0.7125
文件名: ./emb_a20b50.npy, TC = 0.5744, TD = 0.6619
文件名: ./emb_a20b30.npy, TC = 0.5713, TD = 0.6952
文件名: ./emb_a45b85.npy, TC = 0.5849, TD = 0.6964
文件名: ./emb_a10b65.npy, TC = 0.5398, TD = 0.6158
文件名: ./emb_a95b55.npy, TC = 0.5802, TD = 0.6885
文件名: ./emb_a5b35.npy, TC = 0.4529, TD = 0.7000
文件名: ./emb_a20b75.npy, TC = 0.5778, TD = 0.7045
文件名: ./emb_a20b90.npy, TC = 0.5567, TD = 0.6143
文件名: ./emb_a45b60.npy, TC = 0.5755, TD = 0.6565
文件名: ./emb_a85b40.npy, TC = 0.5704, TD = 0.6783
文件名: ./emb_a25b95.npy, TC = 0.5552, TD = 0.5684
文件名: ./emb_a85b15.npy, TC = 0.5753, TD = 0.6609
文件名: ./emb_a80b30.npy, TC = 0.5817, TD = 0.6833
文件名: ./emb_a50b70.npy, TC = 0.5891, TD = 0.6815
文件名: ./emb_a50b35.npy, TC = 0.5730, TD = 0.6792
文件名: ./emb_a80b75.npy, TC = 0.5634, TD = 0.6636
文件名: ./emb_a70b70.npy, TC = 0.5733, TD = 0.6708
文件名: ./emb_a55b10.npy, TC = 0.5732, TD = 0.6917
文件名: ./emb_a85b5.npy, TC = 0.5645, TD = 0.6625
文件名: ./emb_a55b90.npy, TC = 0.5763, TD = 0.7083
文件名: ./emb_a65b40.npy, TC = 0.5803, TD = 0.6962
文件名: ./emb_a35b10.npy, TC = 0.5805, TD = 0.6833
文件名: ./emb_a50b85.npy, TC = 0.5747, TD = 0.6880
文件名: ./emb_a70b45.npy, TC = 0.5675, TD = 0.6522
文件名: ./emb_a80b10.npy, TC = 0.5754, TD = 0.6769
文件名: ./emb_a10b90.npy, TC = 0.5331, TD = 0.5478
文件名: ./emb_a25b55.npy, TC = 0.5625, TD = 0.7048
文件名: ./emb_a65b65.npy, TC = 0.5562, TD = 0.6583
文件名: ./emb_a25b25.npy, TC = 0.5838, TD = 0.7000
文件名: ./emb_a25b20.npy, TC = 0.5731, TD = 0.6792
文件名: ./emb_a60b90.npy, TC = 0.5750, TD = 0.6783
文件名: ./emb_a5b60.npy, TC = 0.5542, TD = 0.6353
文件名: ./emb_a15b70.npy, TC = 0.5713, TD = 0.6524
文件名: ./emb_a65b90.npy, TC = 0.5771, TD = 0.6955
文件名: ./emb_a20b15.npy, TC = 0.5768, TD = 0.6800
文件名: ./emb_a40b60.npy, TC = 0.5749, TD = 0.6583
文件名: ./emb_a25b80.npy, TC = 0.5747, TD = 0.7208
文件名: ./emb_a75b85.npy, TC = 0.5716, TD = 0.6783
文件名: ./emb_a80b25.npy, TC = 0.5687, TD = 0.6720
文件名: ./emb_a10b80.npy, TC = 0.5351, TD = 0.5696
