文件名: ./emb_a45b60.npy, TC = 0.5785, TD = 0.6609
文件名: ./emb_a85b40.npy, TC = 0.5714, TD = 0.6739
文件名: ./emb_a25b95.npy, TC = 0.5620, TD = 0.5789
文件名: ./emb_a85b15.npy, TC = 0.5771, TD = 0.6696
文件名: ./emb_a80b30.npy, TC = 0.5797, TD = 0.6917
文件名: ./emb_a50b70.npy, TC = 0.5933, TD = 0.6741
文件名: ./emb_a50b35.npy, TC = 0.5732, TD = 0.6833
文件名: ./emb_a80b75.npy, TC = 0.5655, TD = 0.6591
文件名: ./emb_a70b70.npy, TC = 0.5814, TD = 0.6833
文件名: ./emb_a55b10.npy, TC = 0.5784, TD = 0.6958
文件名: ./emb_a85b5.npy, TC = 0.5826, TD = 0.6833
文件名: ./emb_a55b90.npy, TC = 0.5787, TD = 0.7083
文件名: ./emb_a65b40.npy, TC = 0.5869, TD = 0.6923
文件名: ./emb_a35b10.npy, TC = 0.5897, TD = 0.6792
文件名: ./emb_a50b85.npy, TC = 0.5726, TD = 0.6920
文件名: ./emb_a70b45.npy, TC = 0.5730, TD = 0.6522
文件名: ./emb_a80b10.npy, TC = 0.5853, TD = 0.6885
文件名: ./emb_a10b90.npy, TC = 0.5382, TD = 0.5391
文件名: ./emb_a25b55.npy, TC = 0.5794, TD = 0.7095
文件名: ./emb_a65b65.npy, TC = 0.5713, TD = 0.6750
文件名: ./emb_a25b25.npy, TC = 0.5917, TD = 0.7087
文件名: ./emb_a25b20.npy, TC = 0.5837, TD = 0.6958
文件名: ./emb_a60b90.npy, TC = 0.5753, TD = 0.6696
文件名: ./emb_a5b60.npy, TC = 0.5663, TD = 0.6235
文件名: ./emb_a15b70.npy, TC = 0.5777, TD = 0.6619
文件名: ./emb_a65b90.npy, TC = 0.5869, TD = 0.6955
文件名: ./emb_a20b15.npy, TC = 0.5816, TD = 0.6750
文件名: ./emb_a40b60.npy, TC = 0.5861, TD = 0.6625
文件名: ./emb_a25b80.npy, TC = 0.5803, TD = 0.7167
文件名: ./emb_a75b85.npy, TC = 0.5655, TD = 0.6565
文件名: ./emb_a80b25.npy, TC = 0.5740, TD = 0.6800
文件名: ./emb_a10b80.npy, TC = 0.5529, TD = 0.5783
文件名: ./emb_a60b40.npy, TC = 0.5667, TD = 0.6619
文件名: ./emb_a90b65.npy, TC = 0.5866, TD = 0.7000
文件名: ./emb_a75b20.npy, TC = 0.5658, TD = 0.6682
文件名: ./emb_a5b55.npy, TC = 0.5454, TD = 0.6000
文件名: ./emb_a30b70.npy, TC = 0.5762, TD = 0.7000
文件名: ./emb_a80b55.npy, TC = 0.5783, TD = 0.6870
文件名: ./emb_a45b30.npy, TC = 0.5864, TD = 0.6920
文件名: ./emb_a75b30.npy, TC = 0.5903, TD = 0.6917
文件名: ./emb_a85b65.npy, TC = 0.5907, TD = 0.6920
文件名: ./emb_a15b10.npy, TC = 0.5787, TD = 0.6278
文件名: ./emb_a55b30.npy, TC = 0.5725, TD = 0.6957
文件名: ./emb_a90b60.npy, TC = 0.5788, TD = 0.6958
文件名: ./emb_a40b80.npy, TC = 0.5768, TD = 0.6615
文件名: ./emb_a40b20.npy, TC = 0.5821, TD = 0.6609
文件名: ./emb_a60b20.npy, TC = 0.5672, TD = 0.6625
文件名: ./emb_a75b5.npy, TC = 0.5807, TD = 0.6875
文件名: ./emb_a75b55.npy, TC = 0.5680, TD = 0.6800
文件名: ./emb_a5b25.npy, TC = 0.4779, TD = 0.6500
文件名: ./emb_a55b45.npy, TC = 0.5792, TD = 0.6857
文件名: ./emb_a60b55.npy, TC = 0.5645, TD = 0.6870
文件名: ./emb_a80b45.npy, TC = 0.5803, TD = 0.6792
文件名: ./emb_a55b75.npy, TC = 0.5701, TD = 0.6800
文件名: ./emb_a20b95.npy, TC = 0.5570, TD = 0.5259
文件名: ./emb_a70b15.npy, TC = 0.5782, TD = 0.6720
文件名: ./emb_a60b85.npy, TC = 0.5678, TD = 0.6875
文件名: ./emb_a95b45.npy, TC = 0.5788, TD = 0.6667
文件名: ./emb_a70b35.npy, TC = 0.5767, TD = 0.6923
文件名: ./emb_a95b65.npy, TC = 0.5903, TD = 0.6913
文件名: ./emb_a15b5.npy, TC = 0.5799, TD = 0.6118
