文件名: ./emb_a45b60.npy, TC = 0.5841, TD = 0.6565
文件名: ./emb_a85b40.npy, TC = 0.5747, TD = 0.6652
文件名: ./emb_a25b95.npy, TC = 0.5583, TD = 0.5474
文件名: ./emb_a85b15.npy, TC = 0.5832, TD = 0.6739
文件名: ./emb_a80b30.npy, TC = 0.5759, TD = 0.6792
文件名: ./emb_a50b70.npy, TC = 0.5897, TD = 0.6741
文件名: ./emb_a50b35.npy, TC = 0.5750, TD = 0.7125
文件名: ./emb_a80b75.npy, TC = 0.5740, TD = 0.6636
文件名: ./emb_a70b70.npy, TC = 0.5843, TD = 0.6792
文件名: ./emb_a55b10.npy, TC = 0.5760, TD = 0.7000
文件名: ./emb_a85b5.npy, TC = 0.5827, TD = 0.6708
文件名: ./emb_a55b90.npy, TC = 0.5847, TD = 0.7208
文件名: ./emb_a65b40.npy, TC = 0.5726, TD = 0.7000
文件名: ./emb_a35b10.npy, TC = 0.5763, TD = 0.6875
文件名: ./emb_a50b85.npy, TC = 0.5701, TD = 0.7160
文件名: ./emb_a70b45.npy, TC = 0.5741, TD = 0.6609
文件名: ./emb_a80b10.npy, TC = 0.5732, TD = 0.6885
文件名: ./emb_a10b90.npy, TC = 0.5131, TD = 0.5130
文件名: ./emb_a25b55.npy, TC = 0.5756, TD = 0.7095
文件名: ./emb_a65b65.npy, TC = 0.5670, TD = 0.6750
文件名: ./emb_a25b25.npy, TC = 0.5750, TD = 0.7087
文件名: ./emb_a25b20.npy, TC = 0.5717, TD = 0.6958
文件名: ./emb_a60b90.npy, TC = 0.5770, TD = 0.6739
文件名: ./emb_a5b60.npy, TC = 0.5512, TD = 0.5824
文件名: ./emb_a15b70.npy, TC = 0.5769, TD = 0.6619
文件名: ./emb_a65b90.npy, TC = 0.5974, TD = 0.6864
文件名: ./emb_a20b15.npy, TC = 0.5729, TD = 0.6900
文件名: ./emb_a40b60.npy, TC = 0.5833, TD = 0.6542
文件名: ./emb_a25b80.npy, TC = 0.5802, TD = 0.7250
文件名: ./emb_a75b85.npy, TC = 0.5784, TD = 0.6609
文件名: ./emb_a80b25.npy, TC = 0.5772, TD = 0.6800
文件名: ./emb_a10b80.npy, TC = 0.5256, TD = 0.5348
文件名: ./emb_a60b40.npy, TC = 0.5705, TD = 0.6524
文件名: ./emb_a90b65.npy, TC = 0.5871, TD = 0.6955
文件名: ./emb_a75b20.npy, TC = 0.5773, TD = 0.7045
文件名: ./emb_a5b55.npy, TC = 0.5300, TD = 0.5647
文件名: ./emb_a30b70.npy, TC = 0.5701, TD = 0.6958
文件名: ./emb_a80b55.npy, TC = 0.5812, TD = 0.6696
文件名: ./emb_a45b30.npy, TC = 0.5864, TD = 0.7000
文件名: ./emb_a75b30.npy, TC = 0.5804, TD = 0.6958
文件名: ./emb_a85b65.npy, TC = 0.5802, TD = 0.6880
文件名: ./emb_a15b10.npy, TC = 0.5709, TD = 0.6278
文件名: ./emb_a55b30.npy, TC = 0.5777, TD = 0.7043
文件名: ./emb_a90b60.npy, TC = 0.5800, TD = 0.6792
