文件名: ./emb_a95b15.npy, TC = 0.5747, TD = 0.6783
文件名: ./emb_a80b80.npy, TC = 0.5783, TD = 0.6708
文件名: ./emb_a55b25.npy, TC = 0.5701, TD = 0.6708
文件名: ./emb_a10b40.npy, TC = 0.4907, TD = 0.6667
文件名: ./emb_a55b50.npy, TC = 0.5538, TD = 0.7000
文件名: ./emb_a45b45.npy, TC = 0.5696, TD = 0.6800
文件名: ./emb_a95b75.npy, TC = 0.5771, TD = 0.6808
文件名: ./emb_a5b95.npy, TC = 0.4688, TD = 0.5115
文件名: ./emb_a40b45.npy, TC = 0.5706, TD = 0.6808
文件名: ./emb_a95b70.npy, TC = 0.5855, TD = 0.6680
文件名: ./emb_a20b10.npy, TC = 0.5736, TD = 0.6667
文件名: ./emb_a40b85.npy, TC = 0.5649, TD = 0.6800
文件名: ./emb_a75b60.npy, TC = 0.5676, TD = 0.6682
文件名: ./emb_a75b35.npy, TC = 0.5721, TD = 0.6654
文件名: ./emb_a5b90.npy, TC = 0.4689, TD = 0.4842
文件名: ./emb_a65b5.npy, TC = 0.5783, TD = 0.6826
文件名: ./emb_a65b25.npy, TC = 0.5800, TD = 0.6905
文件名: ./emb_a70b75.npy, TC = 0.5643, TD = 0.7125
文件名: ./emb_a25b40.npy, TC = 0.5583, TD = 0.6852
文件名: ./emb_a55b15.npy, TC = 0.5668, TD = 0.6846
文件名: ./emb_a75b70.npy, TC = 0.5814, TD = 0.6800
文件名: ./emb_a50b80.npy, TC = 0.5602, TD = 0.6769
文件名: ./emb_a10b10.npy, TC = 0.5310, TD = 0.5867
文件名: ./emb_a80b90.npy, TC = 0.5667, TD = 0.6640
文件名: ./emb_a95b40.npy, TC = 0.5854, TD = 0.6783
文件名: ./emb_a90b30.npy, TC = 0.5694, TD = 0.6652
文件名: ./emb_a30b20.npy, TC = 0.5583, TD = 0.6692
文件名: ./emb_a75b75.npy, TC = 0.5769, TD = 0.6769
文件名: ./emb_a70b85.npy, TC = 0.5734, TD = 0.6714
文件名: ./emb_a90b35.npy, TC = 0.5835, TD = 0.6609
文件名: ./emb_a85b90.npy, TC = 0.5763, TD = 0.6696
文件名: ./emb_a60b75.npy, TC = 0.5588, TD = 0.6680
文件名: ./emb_a15b90.npy, TC = 0.5142, TD = 0.5269
文件名: ./emb_a25b85.npy, TC = 0.5875, TD = 0.6947
文件名: ./emb_a55b20.npy, TC = 0.5541, TD = 0.6560
文件名: ./emb_a45b10.npy, TC = 0.5715, TD = 0.6760
文件名: ./emb_a50b75.npy, TC = 0.5633, TD = 0.6720
文件名: ./emb_a85b60.npy, TC = 0.5765, TD = 0.6542
文件名: ./emb_a15b60.npy, TC = 0.5726, TD = 0.6842
文件名: ./emb_a55b95.npy, TC = 0.5654, TD = 0.6960
文件名: ./emb_a10b50.npy, TC = 0.5381, TD = 0.6263
文件名: ./emb_a15b45.npy, TC = 0.5717, TD = 0.6474
文件名: ./emb_a85b10.npy, TC = 0.5755, TD = 0.6708
文件名: ./emb_a45b15.npy, TC = 0.5755, TD = 0.6783
文件名: ./emb_a35b90.npy, TC = 0.5833, TD = 0.6958
文件名: ./emb_a20b50.npy, TC = 0.5626, TD = 0.6667
文件名: ./emb_a20b30.npy, TC = 0.5588, TD = 0.6810
文件名: ./emb_a45b85.npy, TC = 0.5694, TD = 0.6857
文件名: ./emb_a10b65.npy, TC = 0.5446, TD = 0.6105
文件名: ./emb_a95b55.npy, TC = 0.5667, TD = 0.6654
文件名: ./emb_a5b35.npy, TC = 0.4390, TD = 0.7000
文件名: ./emb_a20b75.npy, TC = 0.5619, TD = 0.7045
文件名: ./emb_a20b90.npy, TC = 0.5448, TD = 0.6000
文件名: ./emb_a45b60.npy, TC = 0.5745, TD = 0.6435
文件名: ./emb_a85b40.npy, TC = 0.5717, TD = 0.6522
文件名: ./emb_a25b95.npy, TC = 0.5538, TD = 0.5474
文件名: ./emb_a85b15.npy, TC = 0.5695, TD = 0.6522
文件名: ./emb_a80b30.npy, TC = 0.5771, TD = 0.6833
文件名: ./emb_a50b70.npy, TC = 0.5809, TD = 0.6556
文件名: ./emb_a50b35.npy, TC = 0.5678, TD = 0.7083
文件名: ./emb_a80b75.npy, TC = 0.5764, TD = 0.6591
文件名: ./emb_a70b70.npy, TC = 0.5797, TD = 0.6625
文件名: ./emb_a55b10.npy, TC = 0.5668, TD = 0.6917
文件名: ./emb_a85b5.npy, TC = 0.5692, TD = 0.6542
文件名: ./emb_a55b90.npy, TC = 0.5742, TD = 0.7000
文件名: ./emb_a65b40.npy, TC = 0.5673, TD = 0.6846
文件名: ./emb_a35b10.npy, TC = 0.5723, TD = 0.6750
文件名: ./emb_a50b85.npy, TC = 0.5600, TD = 0.6920
文件名: ./emb_a70b45.npy, TC = 0.5624, TD = 0.6609
文件名: ./emb_a80b10.npy, TC = 0.5715, TD = 0.6692
文件名: ./emb_a10b90.npy, TC = 0.4960, TD = 0.5261
文件名: ./emb_a25b55.npy, TC = 0.5641, TD = 0.7190
文件名: ./emb_a65b65.npy, TC = 0.5569, TD = 0.6542
文件名: ./emb_a25b25.npy, TC = 0.5604, TD = 0.7000
文件名: ./emb_a25b20.npy, TC = 0.5594, TD = 0.6875
文件名: ./emb_a60b90.npy, TC = 0.5743, TD = 0.6696
文件名: ./emb_a5b60.npy, TC = 0.5334, TD = 0.5824
文件名: ./emb_a15b70.npy, TC = 0.5656, TD = 0.6333
文件名: ./emb_a65b90.npy, TC = 0.5900, TD = 0.6818
文件名: ./emb_a20b15.npy, TC = 0.5616, TD = 0.6850
文件名: ./emb_a40b60.npy, TC = 0.5742, TD = 0.6500
文件名: ./emb_a25b80.npy, TC = 0.5678, TD = 0.7125
文件名: ./emb_a75b85.npy, TC = 0.5763, TD = 0.6565
文件名: ./emb_a80b25.npy, TC = 0.5735, TD = 0.6600
文件名: ./emb_a10b80.npy, TC = 0.5092, TD = 0.5261
文件名: ./emb_a60b40.npy, TC = 0.5677, TD = 0.6571
文件名: ./emb_a90b65.npy, TC = 0.5798, TD = 0.6818
文件名: ./emb_a75b20.npy, TC = 0.5617, TD = 0.6636
文件名: ./emb_a5b55.npy, TC = 0.5314, TD = 0.5647
文件名: ./emb_a30b70.npy, TC = 0.5603, TD = 0.6833
文件名: ./emb_a80b55.npy, TC = 0.5677, TD = 0.6565
文件名: ./emb_a45b30.npy, TC = 0.5745, TD = 0.6880
文件名: ./emb_a75b30.npy, TC = 0.5717, TD = 0.6875
文件名: ./emb_a85b65.npy, TC = 0.5774, TD = 0.6720
文件名: ./emb_a15b10.npy, TC = 0.5677, TD = 0.6278
文件名: ./emb_a55b30.npy, TC = 0.5731, TD = 0.7130
文件名: ./emb_a90b60.npy, TC = 0.5774, TD = 0.6667
文件名: ./emb_a40b80.npy, TC = 0.5659, TD = 0.6538
文件名: ./emb_a40b20.npy, TC = 0.5720, TD = 0.6565
文件名: ./emb_a60b20.npy, TC = 0.5636, TD = 0.6750
文件名: ./emb_a75b5.npy, TC = 0.5586, TD = 0.6792
文件名: ./emb_a75b55.npy, TC = 0.5507, TD = 0.6760
文件名: ./emb_a5b25.npy, TC = 0.4374, TD = 0.7000
文件名: ./emb_a55b45.npy, TC = 0.5734, TD = 0.6762
文件名: ./emb_a60b55.npy, TC = 0.5712, TD = 0.6826
文件名: ./emb_a80b45.npy, TC = 0.5794, TD = 0.6625
文件名: ./emb_a55b75.npy, TC = 0.5646, TD = 0.6880
文件名: ./emb_a20b95.npy, TC = 0.5328, TD = 0.4889
文件名: ./emb_a70b15.npy, TC = 0.5670, TD = 0.6640
文件名: ./emb_a60b85.npy, TC = 0.5667, TD = 0.7042
文件名: ./emb_a95b45.npy, TC = 0.5821, TD = 0.6792
