文件名: ./emb_a45b60.npy, TC = 0.6082, TD = 0.7348
文件名: ./emb_a85b40.npy, TC = 0.5858, TD = 0.6800
文件名: ./emb_a25b95.npy, TC = 0.5817, TD = 0.5769
文件名: ./emb_a85b15.npy, TC = 0.5891, TD = 0.6913
文件名: ./emb_a80b30.npy, TC = 0.5730, TD = 0.6833
文件名: ./emb_a50b70.npy, TC = 0.6074, TD = 0.7308
文件名: ./emb_a50b35.npy, TC = 0.5849, TD = 0.7125
文件名: ./emb_a80b75.npy, TC = 0.5925, TD = 0.6885
文件名: ./emb_a70b70.npy, TC = 0.5775, TD = 0.6680
文件名: ./emb_a55b10.npy, TC = 0.5881, TD = 0.6962
文件名: ./emb_a85b5.npy, TC = 0.5078, TD = 0.7000
文件名: ./emb_a55b90.npy, TC = 0.5764, TD = 0.6818
文件名: ./emb_a65b40.npy, TC = 0.4374, TD = 0.7000
文件名: ./emb_a35b10.npy, TC = 0.6076, TD = 0.6600
文件名: ./emb_a50b85.npy, TC = 0.5923, TD = 0.7091
文件名: ./emb_a70b45.npy, TC = 0.5708, TD = 0.6750
文件名: ./emb_a80b10.npy, TC = 0.4379, TD = 0.7000
文件名: ./emb_a10b90.npy, TC = 0.5516, TD = 0.5917
文件名: ./emb_a25b55.npy, TC = 0.3655, TD = 1.0000
文件名: ./emb_a65b65.npy, TC = 0.5976, TD = 0.7036
文件名: ./emb_a25b25.npy, TC = 0.5864, TD = 0.6556
文件名: ./emb_a25b20.npy, TC = 0.6056, TD = 0.6900
文件名: ./emb_a60b90.npy, TC = 0.5910, TD = 0.6720
文件名: ./emb_a5b60.npy, TC = 0.5948, TD = 0.7077
文件名: ./emb_a15b70.npy, TC = 0.6005, TD = 0.6529
文件名: ./emb_a65b90.npy, TC = 0.5877, TD = 0.6870
文件名: ./emb_a20b15.npy, TC = 0.5481, TD = 0.7000
文件名: ./emb_a40b60.npy, TC = 0.6042, TD = 0.7000
文件名: ./emb_a25b80.npy, TC = 0.5939, TD = 0.6667
文件名: ./emb_a75b85.npy, TC = 0.5786, TD = 0.6720
文件名: ./emb_a80b25.npy, TC = 0.4382, TD = 0.7000
文件名: ./emb_a10b80.npy, TC = 0.5689, TD = 0.6040
文件名: ./emb_a60b40.npy, TC = 0.5774, TD = 0.6880
文件名: ./emb_a90b65.npy, TC = 0.5791, TD = 0.6696
文件名: ./emb_a75b20.npy, TC = 0.5790, TD = 0.6880
文件名: ./emb_a5b55.npy, TC = 0.5431, TD = 0.6357
文件名: ./emb_a30b70.npy, TC = 0.5994, TD = 0.6962
文件名: ./emb_a80b55.npy, TC = 0.5761, TD = 0.6636
文件名: ./emb_a45b30.npy, TC = 0.6037, TD = 0.7333
文件名: ./emb_a75b30.npy, TC = 0.4380, TD = 0.7000
文件名: ./emb_a85b65.npy, TC = 0.5710, TD = 0.6708
文件名: ./emb_a15b10.npy, TC = 0.5458, TD = 0.5529
文件名: ./emb_a55b30.npy, TC = 0.4377, TD = 0.7000
文件名: ./emb_a90b60.npy, TC = 0.5762, TD = 0.6591
文件名: ./emb_a40b80.npy, TC = 0.6112, TD = 0.7077
文件名: ./emb_a40b20.npy, TC = 0.6027, TD = 0.6963
文件名: ./emb_a60b20.npy, TC = 0.4378, TD = 0.7000
文件名: ./emb_a75b5.npy, TC = 0.5077, TD = 0.7000
文件名: ./emb_a75b55.npy, TC = 0.4376, TD = 0.7000
文件名: ./emb_a5b25.npy, TC = 0.4781, TD = 0.6500
文件名: ./emb_a55b45.npy, TC = 0.4378, TD = 0.7000
文件名: ./emb_a60b55.npy, TC = 0.5852, TD = 0.7000
文件名: ./emb_a80b45.npy, TC = 0.5745, TD = 0.6889
文件名: ./emb_a55b75.npy, TC = 0.6119, TD = 0.7292
文件名: ./emb_a20b95.npy, TC = 0.5520, TD = 0.5552
文件名: ./emb_a70b15.npy, TC = 0.4380, TD = 0.7000
文件名: ./emb_a60b85.npy, TC = 0.5951, TD = 0.7000
文件名: ./emb_a95b45.npy, TC = 0.5717, TD = 0.6880
文件名: ./emb_a70b35.npy, TC = 0.4377, TD = 0.7000
文件名: ./emb_a95b65.npy, TC = 0.5899, TD = 0.6920
文件名: ./emb_a15b5.npy, TC = 0.4402, TD = 1.0000
文件名: ./emb_a30b35.npy, TC = 0.5724, TD = 0.6571
文件名: ./emb_a10b35.npy, TC = 0.5887, TD = 0.6556
文件名: ./emb_a55b65.npy, TC = 0.5999, TD = 0.6962
文件名: ./emb_a90b5.npy, TC = 0.5758, TD = 0.6864
文件名: ./emb_a55b35.npy, TC = 0.4378, TD = 0.7000
文件名: ./emb_a50b60.npy, TC = 0.6059, TD = 0.7000
文件名: ./emb_a85b95.npy, TC = 0.5858, TD = 0.6708
文件名: ./emb_a10b55.npy, TC = 0.6044, TD = 0.7059
文件名: ./emb_a20b35.npy, TC = 0.4410, TD = 1.0000
文件名: ./emb_a10b95.npy, TC = 0.5467, TD = 0.5630
文件名: ./emb_a45b50.npy, TC = 0.5936, TD = 0.7250
文件名: ./emb_a40b75.npy, TC = 0.5910, TD = 0.6778
文件名: ./emb_a70b30.npy, TC = 0.6001, TD = 0.7143
文件名: ./emb_a55b85.npy, TC = 0.5856, TD = 0.6955
文件名: ./emb_a10b70.npy, TC = 0.5781, TD = 0.6188
文件名: ./emb_a30b75.npy, TC = 0.5764, TD = 0.6240
文件名: ./emb_a65b85.npy, TC = 0.5936, TD = 0.7043
文件名: ./emb_a30b85.npy, TC = 0.5856, TD = 0.6625
文件名: ./emb_a20b80.npy, TC = 0.5976, TD = 0.6609
文件名: ./emb_a90b10.npy, TC = 0.4378, TD = 0.7000
文件名: ./emb_a95b90.npy, TC = 0.5722, TD = 0.6739
文件名: ./emb_a5b5.npy, TC = 0.4952, TD = 0.7000
文件名: ./emb_a55b60.npy, TC = 0.5827, TD = 0.6600
文件名: ./emb_a70b80.npy, TC = 0.6002, TD = 0.7000
文件名: ./emb_a65b45.npy, TC = 0.4377, TD = 0.7000
文件名: ./emb_a15b20.npy, TC = 0.4781, TD = 0.6500
文件名: ./emb_a35b40.npy, TC = 0.6053, TD = 0.6870
文件名: ./emb_a55b40.npy, TC = 0.5785, TD = 0.6750
文件名: ./emb_a30b50.npy, TC = 0.6145, TD = 0.7174
文件名: ./emb_a60b70.npy, TC = 0.5922, TD = 0.7000
文件名: ./emb_a5b50.npy, TC = 0.5746, TD = 0.6937
文件名: ./emb_a45b65.npy, TC = 0.5984, TD = 0.7200
文件名: ./emb_a35b30.npy, TC = 0.6082, TD = 0.6800
文件名: ./emb_a25b60.npy, TC = 0.3656, TD = 1.0000
文件名: ./emb_a40b30.npy, TC = 0.6028, TD = 0.6923
文件名: ./emb_a25b30.npy, TC = 0.5848, TD = 0.6684
文件名: ./emb_a15b40.npy, TC = 0.6020, TD = 0.7125
文件名: ./emb_a30b15.npy, TC = 0.6055, TD = 0.6800
文件名: ./emb_a90b90.npy, TC = 0.5723, TD = 0.6864
