文件名: ./emb_a45b60.npy, TC = 0.5814, TD = 0.6682
文件名: ./emb_a85b40.npy, TC = 0.5658, TD = 0.6810
文件名: ./emb_a25b95.npy, TC = 0.5486, TD = 0.5485
文件名: ./emb_a85b15.npy, TC = 0.5639, TD = 0.6409
文件名: ./emb_a80b30.npy, TC = 0.5603, TD = 0.6640
文件名: ./emb_a50b70.npy, TC = 0.5740, TD = 0.6565
文件名: ./emb_a50b35.npy, TC = 0.5805, TD = 0.6810
文件名: ./emb_a80b75.npy, TC = 0.5769, TD = 0.6875
文件名: ./emb_a70b70.npy, TC = 0.5761, TD = 0.6750
文件名: ./emb_a55b10.npy, TC = 0.5901, TD = 0.6885
文件名: ./emb_a85b5.npy, TC = 0.5643, TD = 0.6739
文件名: ./emb_a55b90.npy, TC = 0.5146, TD = 0.6000
文件名: ./emb_a65b40.npy, TC = 0.5545, TD = 0.6500
文件名: ./emb_a35b10.npy, TC = 0.5693, TD = 0.6500
文件名: ./emb_a50b85.npy, TC = 0.5526, TD = 0.6200
文件名: ./emb_a70b45.npy, TC = 0.5686, TD = 0.6640
文件名: ./emb_a80b10.npy, TC = 0.5806, TD = 0.6654
文件名: ./emb_a10b90.npy, TC = 0.5260, TD = 0.4967
文件名: ./emb_a25b55.npy, TC = 0.5641, TD = 0.6444
文件名: ./emb_a65b65.npy, TC = 0.5829, TD = 0.6500
文件名: ./emb_a25b25.npy, TC = 0.5873, TD = 0.6696
文件名: ./emb_a25b20.npy, TC = 0.5809, TD = 0.6696
文件名: ./emb_a60b90.npy, TC = 0.5273, TD = 0.6200
文件名: ./emb_a5b60.npy, TC = 0.5295, TD = 0.6333
文件名: ./emb_a15b70.npy, TC = 0.5743, TD = 0.6667
文件名: ./emb_a65b90.npy, TC = 0.5893, TD = 0.6571
文件名: ./emb_a20b15.npy, TC = 0.5872, TD = 0.6667
文件名: ./emb_a40b60.npy, TC = 0.5589, TD = 0.6591
文件名: ./emb_a25b80.npy, TC = 0.5909, TD = 0.6741
文件名: ./emb_a75b85.npy, TC = 0.5651, TD = 0.6706
文件名: ./emb_a80b25.npy, TC = 0.5680, TD = 0.6583
文件名: ./emb_a10b80.npy, TC = 0.5684, TD = 0.5826
文件名: ./emb_a60b40.npy, TC = 0.5728, TD = 0.6500
文件名: ./emb_a90b65.npy, TC = 0.5636, TD = 0.6417
文件名: ./emb_a75b20.npy, TC = 0.5695, TD = 0.6577
文件名: ./emb_a5b55.npy, TC = 0.5684, TD = 0.6867
文件名: ./emb_a30b70.npy, TC = 0.5460, TD = 0.6318
文件名: ./emb_a80b55.npy, TC = 0.5694, TD = 0.6500
文件名: ./emb_a45b30.npy, TC = 0.5776, TD = 0.7000
文件名: ./emb_a75b30.npy, TC = 0.5660, TD = 0.6625
文件名: ./emb_a85b65.npy, TC = 0.5680, TD = 0.6583
文件名: ./emb_a15b10.npy, TC = 0.5824, TD = 0.6095
文件名: ./emb_a55b30.npy, TC = 0.5697, TD = 0.6700
文件名: ./emb_a90b60.npy, TC = 0.5616, TD = 0.6591
文件名: ./emb_a40b80.npy, TC = 0.5381, TD = 0.6000
文件名: ./emb_a40b20.npy, TC = 0.5852, TD = 0.6720
文件名: ./emb_a60b20.npy, TC = 0.5826, TD = 0.6792
文件名: ./emb_a75b5.npy, TC = 0.5721, TD = 0.6652
文件名: ./emb_a75b55.npy, TC = 0.5615, TD = 0.6556
文件名: ./emb_a5b25.npy, TC = 0.5241, TD = 0.5824
文件名: ./emb_a55b45.npy, TC = 0.5910, TD = 0.6964
文件名: ./emb_a60b55.npy, TC = 0.5981, TD = 0.6680
文件名: ./emb_a80b45.npy, TC = 0.5664, TD = 0.6652
文件名: ./emb_a55b75.npy, TC = 0.5717, TD = 0.6522
文件名: ./emb_a20b95.npy, TC = 0.5465, TD = 0.5097
文件名: ./emb_a70b15.npy, TC = 0.5788, TD = 0.6875
文件名: ./emb_a60b85.npy, TC = 0.5829, TD = 0.6655
文件名: ./emb_a95b45.npy, TC = 0.5718, TD = 0.6773
文件名: ./emb_a70b35.npy, TC = 0.5644, TD = 0.6708
文件名: ./emb_a95b65.npy, TC = 0.5608, TD = 0.6320
文件名: ./emb_a15b5.npy, TC = 0.5910, TD = 0.6810
文件名: ./emb_a30b35.npy, TC = 0.5658, TD = 0.6824
文件名: ./emb_a10b35.npy, TC = 0.5634, TD = 0.7143
文件名: ./emb_a55b65.npy, TC = 0.5684, TD = 0.6720
文件名: ./emb_a90b5.npy, TC = 0.5628, TD = 0.6636
文件名: ./emb_a55b35.npy, TC = 0.5925, TD = 0.6750
文件名: ./emb_a50b60.npy, TC = 0.5946, TD = 0.6885
文件名: ./emb_a85b95.npy, TC = 0.5777, TD = 0.6577
文件名: ./emb_a10b55.npy, TC = 0.5375, TD = 0.6455
文件名: ./emb_a20b35.npy, TC = 0.6047, TD = 0.6958
文件名: ./emb_a10b95.npy, TC = 0.5150, TD = 0.5481
文件名: ./emb_a45b50.npy, TC = 0.5865, TD = 0.6783
文件名: ./emb_a40b75.npy, TC = 0.5743, TD = 0.6750
文件名: ./emb_a70b30.npy, TC = 0.5614, TD = 0.6583
文件名: ./emb_a55b85.npy, TC = 0.5977, TD = 0.6536
文件名: ./emb_a10b70.npy, TC = 0.5732, TD = 0.6217
文件名: ./emb_a30b75.npy, TC = 0.5339, TD = 0.6294
文件名: ./emb_a65b85.npy, TC = 0.5921, TD = 0.6615
文件名: ./emb_a30b85.npy, TC = 0.5787, TD = 0.6560
文件名: ./emb_a20b80.npy, TC = 0.5836, TD = 0.6750
文件名: ./emb_a90b10.npy, TC = 0.5646, TD = 0.6792
文件名: ./emb_a95b90.npy, TC = 0.5551, TD = 0.6391
文件名: ./emb_a5b5.npy, TC = 0.5207, TD = 0.5625
文件名: ./emb_a55b60.npy, TC = 0.5840, TD = 0.6654
文件名: ./emb_a70b80.npy, TC = 0.5725, TD = 0.6824
文件名: ./emb_a65b45.npy, TC = 0.5801, TD = 0.6577
文件名: ./emb_a15b20.npy, TC = 0.6076, TD = 0.6409
文件名: ./emb_a35b40.npy, TC = 0.5651, TD = 0.6611
文件名: ./emb_a55b40.npy, TC = 0.5737, TD = 0.6625
文件名: ./emb_a30b50.npy, TC = 0.5734, TD = 0.6833
文件名: ./emb_a60b70.npy, TC = 0.5699, TD = 0.6840
文件名: ./emb_a5b50.npy, TC = 0.5637, TD = 0.6818
文件名: ./emb_a45b65.npy, TC = 0.5904, TD = 0.6741
文件名: ./emb_a35b30.npy, TC = 0.5907, TD = 0.6842
文件名: ./emb_a25b60.npy, TC = 0.5315, TD = 0.6000
文件名: ./emb_a40b30.npy, TC = 0.5728, TD = 0.6783
文件名: ./emb_a25b30.npy, TC = 0.5882, TD = 0.6783
文件名: ./emb_a15b40.npy, TC = 0.5595, TD = 0.6786
文件名: ./emb_a30b15.npy, TC = 0.5844, TD = 0.6842
文件名: ./emb_a90b90.npy, TC = 0.5689, TD = 0.6850
文件名: ./emb_a10b45.npy, TC = 0.5502, TD = 0.6846
文件名: ./emb_a40b65.npy, TC = 0.5537, TD = 0.6550
文件名: ./emb_a75b50.npy, TC = 0.5783, TD = 0.6615
文件名: ./emb_a60b50.npy, TC = 0.5662, TD = 0.6632
文件名: ./emb_a85b55.npy, TC = 0.5640, TD = 0.6435
文件名: ./emb_a50b95.npy, TC = 0.5691, TD = 0.6519
文件名: ./emb_a55b70.npy, TC = 0.5856, TD = 0.6917
文件名: ./emb_a95b95.npy, TC = 0.5511, TD = 0.6429
文件名: ./emb_a70b25.npy, TC = 0.5702, TD = 0.6577
文件名: ./emb_a5b40.npy, TC = 0.5649, TD = 0.6389
文件名: ./emb_a10b5.npy, TC = 0.4407, TD = 1.0000
文件名: ./emb_a70b20.npy, TC = 0.5799, TD = 0.6875
文件名: ./emb_a80b85.npy, TC = 0.5726, TD = 0.6650
文件名: ./emb_a50b65.npy, TC = 0.5863, TD = 0.6692
文件名: ./emb_a75b65.npy, TC = 0.5761, TD = 0.6583
文件名: ./emb_a45b20.npy, TC = 0.5845, TD = 0.7048
文件名: ./emb_a80b60.npy, TC = 0.5614, TD = 0.6727
文件名: ./emb_a75b40.npy, TC = 0.5679, TD = 0.6640
文件名: ./emb_a60b80.npy, TC = 0.5812, TD = 0.6542
文件名: ./emb_a30b45.npy, TC = 0.5722, TD = 0.6882
文件名: ./emb_a65b70.npy, TC = 0.5733, TD = 0.6667
文件名: ./emb_a90b20.npy, TC = 0.5607, TD = 0.6696
文件名: ./emb_a90b25.npy, TC = 0.5498, TD = 0.6810
文件名: ./emb_a90b55.npy, TC = 0.5427, TD = 0.6444
文件名: ./emb_a60b5.npy, TC = 0.5803, TD = 0.6643
文件名: ./emb_a65b15.npy, TC = 0.5819, TD = 0.7000
文件名: ./emb_a70b95.npy, TC = 0.5535, TD = 0.6600
文件名: ./emb_a30b80.npy, TC = 0.5127, TD = 0.5786
文件名: ./emb_a95b35.npy, TC = 0.5634, TD = 0.6762
文件名: ./emb_a25b5.npy, TC = 0.5865, TD = 0.6640
文件名: ./emb_a45b70.npy, TC = 0.5772, TD = 0.6615
文件名: ./emb_a40b25.npy, TC = 0.5619, TD = 0.6944
文件名: ./emb_a5b45.npy, TC = 0.5416, TD = 0.6133
文件名: ./emb_a25b10.npy, TC = 0.5953, TD = 0.7000
文件名: ./emb_a95b80.npy, TC = 0.5678, TD = 0.6500
文件名: ./emb_a15b85.npy, TC = 0.5634, TD = 0.6000
文件名: ./emb_a15b95.npy, TC = 0.5335, TD = 0.5241
文件名: ./emb_a20b45.npy, TC = 0.5640, TD = 0.6381
文件名: ./emb_a70b55.npy, TC = 0.5677, TD = 0.6565
文件名: ./emb_a95b85.npy, TC = 0.5524, TD = 0.6500
文件名: ./emb_a60b60.npy, TC = 0.5641, TD = 0.6474
文件名: ./emb_a45b90.npy, TC = 0.5315, TD = 0.6158
文件名: ./emb_a90b75.npy, TC = 0.5752, TD = 0.6667
文件名: ./emb_a25b75.npy, TC = 0.5251, TD = 0.5824
文件名: ./emb_a85b45.npy, TC = 0.5659, TD = 0.6583
文件名: ./emb_a70b10.npy, TC = 0.5857, TD = 0.6880
文件名: ./emb_a80b5.npy, TC = 0.5699, TD = 0.6833
文件名: ./emb_a80b40.npy, TC = 0.5673, TD = 0.6333
文件名: ./emb_a65b95.npy, TC = 0.5215, TD = 0.6056
文件名: ./emb_a85b85.npy, TC = 0.5612, TD = 0.6652
